,amine_E,amine_ES_root_dipole,amine_ES_root_electronic_spatial_extent,amine_ES_root_molar_volume,amine_E_scf,amine_E_thermal_correction,amine_E_zpe,amine_G,amine_G_thermal_correction,amine_H,amine_H_thermal_correction,amine_charge,amine_dipole,amine_electronegativity,amine_electronic_spatial_extent,amine_hardness,amine_homo_energy,amine_lumo_energy,amine_molar_mass,amine_molar_volume,amine_number_of_atoms,amine_zero_point_correction,amine_N1_APT_charge,amine_N1_ES_root_Mulliken_charge,amine_N1_ES_root_NPA_Rydberg,amine_N1_ES_root_NPA_charge,amine_N1_ES_root_NPA_core,amine_N1_ES_root_NPA_total,amine_N1_ES_root_NPA_valence,amine_N1_Mulliken_charge,amine_N1_NMR_anisotropy,amine_N1_NMR_shift,amine_N1_NPA_Rydberg,amine_N1_NPA_charge,amine_N1_NPA_core,amine_N1_NPA_total,amine_N1_NPA_valence,amine_N1_VBur,acid_E,acid_ES_root_dipole,acid_ES_root_electronic_spatial_extent,acid_ES_root_molar_volume,acid_E_scf,acid_E_thermal_correction,acid_E_zpe,acid_G,acid_G_thermal_correction,acid_H,acid_H_thermal_correction,acid_charge,acid_dipole,acid_electronegativity,acid_electronic_spatial_extent,acid_hardness,acid_homo_energy,acid_lumo_energy,acid_molar_mass,acid_molar_volume,acid_number_of_atoms,acid_zero_point_correction,acid_C1_APT_charge,acid_C1_ES_root_Mulliken_charge,acid_C1_ES_root_NPA_Rydberg,acid_C1_ES_root_NPA_charge,acid_C1_ES_root_NPA_core,acid_C1_ES_root_NPA_total,acid_C1_ES_root_NPA_valence,acid_C1_Mulliken_charge,acid_C1_NMR_anisotropy,acid_C1_NMR_shift,acid_C1_NPA_Rydberg,acid_C1_NPA_charge,acid_C1_NPA_core,acid_C1_NPA_total,acid_C1_NPA_valence,acid_C1_VBur,acid_C2_APT_charge,acid_C2_ES_root_Mulliken_charge,acid_C2_ES_root_NPA_Rydberg,acid_C2_ES_root_NPA_charge,acid_C2_ES_root_NPA_core,acid_C2_ES_root_NPA_total,acid_C2_ES_root_NPA_valence,acid_C2_Mulliken_charge,acid_C2_NMR_anisotropy,acid_C2_NMR_shift,acid_C2_NPA_Rydberg,acid_C2_NPA_charge,acid_C2_NPA_core,acid_C2_NPA_total,acid_C2_NPA_valence,acid_C2_VBur,acid_O1_APT_charge,acid_O1_ES_root_Mulliken_charge,acid_O1_ES_root_NPA_Rydberg,acid_O1_ES_root_NPA_charge,acid_O1_ES_root_NPA_core,acid_O1_ES_root_NPA_total,acid_O1_ES_root_NPA_valence,acid_O1_Mulliken_charge,acid_O1_NMR_anisotropy,acid_O1_NMR_shift,acid_O1_NPA_Rydberg,acid_O1_NPA_charge,acid_O1_NPA_core,acid_O1_NPA_total,acid_O1_NPA_valence,acid_O1_VBur,acid_O2_APT_charge,acid_O2_ES_root_Mulliken_charge,acid_O2_ES_root_NPA_Rydberg,acid_O2_ES_root_NPA_charge,acid_O2_ES_root_NPA_core,acid_O2_ES_root_NPA_total,acid_O2_ES_root_NPA_valence,acid_O2_Mulliken_charge,acid_O2_NMR_anisotropy,acid_O2_NMR_shift,acid_O2_NPA_Rydberg,acid_O2_NPA_charge,acid_O2_NPA_core,acid_O2_NPA_total,acid_O2_NPA_valence,acid_O2_VBur
C#CC(C)(C)N.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-250.099329,1.624,605.4829,756.437,-250.23557439,0.137539,-250.106642,-250.136756,0.100111,-250.098385,0.138483,0.0,0.5544,0.10227499999999999,600.9725,0.148145,-0.25042,0.04587,83.1328,849.062,15.0,0.130226,-0.518503,-0.103673,0.01498,-0.68453,1.99938,7.68453,5.67017,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,7.86475,5.84891,0.44823788546255505,-828.2293372287678,1.8957788357052905,5951.545697044688,2183.0929937089086,-828.487079565599,0.26210342432410455,-828.2447306226188,-828.2892503247831,0.2021903283088639,-828.2283931584674,0.26304742432410455,0.0,2.0520383146159524,0.14172161191654586,6083.88513480715,0.09947719201110249,-0.24119880392764834,-0.04224441990544335,244.2649,1987.381527876036,31.0,0.24671003129732239,-0.02016399945822213,-0.09981082926894799,0.019784764054817022,-0.3640502075717246,1.99891,6.364050207571724,4.345359611188149,-0.10195875009519531,11.550861530804221,147.2754802524086,0.018941640785504005,-0.36365238500665115,1.9989,6.363652385006651,4.3458063261435935,0.6718239271119676,1.0863839751380218,0.1834851388477751,0.06015860893106714,0.8528784952364168,1.99929,5.147121504763583,3.087677021357205,0.1945073535902228,98.10947757372107,24.97406547475946,0.05927203347079954,0.8725656056721441,1.9993,5.127434394327856,3.0688616578525174,0.5675773462112481,-0.7168793321263192,-0.2424025686851984,0.010826690793730009,-0.6154860459689815,1.99971,8.61548604596898,6.604957640129054,-0.2388837972838323,537.960976260673,-56.71036691693601,0.01065392119895846,-0.6137362876472792,1.9997024180507355,8.613736287647278,6.603375822872896,0.4138003840527274,-0.6941112511134995,-0.19696058688837556,0.010407494481293661,-0.7049846532069451,1.9996724180507355,8.704984653206946,6.69490302562872,-0.19470407017931093,172.57103425477044,146.00063584055903,0.010347467850392512,-0.7031515829034565,1.9996724180507355,8.703151582903457,6.693127236778222,0.40081176028454973
C#CC(C)(C)N.CC(C(=O)O)c1ccc(CBr)cc1,-250.099329,1.624,605.4829,756.437,-250.23557439,0.137539,-250.106642,-250.136756,0.100111,-250.098385,0.138483,0.0,0.5544,0.10227499999999999,600.9725,0.148145,-0.25042,0.04587,83.1328,849.062,15.0,0.130226,-0.518503,-0.103673,0.01498,-0.68453,1.99938,7.68453,5.67017,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,7.86475,5.84891,0.44823788546255505,-3111.1348152763085,2.8667233142879596,4878.937134947088,1750.1714241775928,-3111.336793667907,0.20451433579676506,-3111.1475405019855,-3111.190158302044,0.14917146945385326,-3111.1338712763086,0.20545833579676506,0.0,2.5556978659244054,0.15207887116224927,4962.631774159061,0.10805194457059157,-0.26013081573284086,-0.04402692659165772,243.0997,1711.211669697828,24.0,0.19178911011973176,-0.0256724399669829,-0.10038688450577764,0.019663270080981295,-0.3672286178978618,1.9989099999999997,6.367228617897862,4.3486558865045195,-0.1026953708750623,10.588555755369004,147.46158415911069,0.018914191185662364,-0.3643325460247185,1.9989,6.364332546024718,4.346517945929851,0.671843482021656,1.085691925709751,0.1848467877452342,0.060441983154196105,0.8578607039834183,1.99929,5.142139296016581,3.0824014088726948,0.19403591684501964,98.60998088719532,24.5598414567209,0.05932241877879179,0.8726377259645622,1.9993,5.127362274035438,3.0687402641658506,0.5688047738203496,-0.7144571350566206,-0.24062910697963832,0.010721077598506459,-0.6150146100065293,1.9997040960103094,8.61501461000653,6.604592175901973,-0.24053675701719196,540.1735890572212,-54.49033355619347,0.010606530114864714,-0.6160392124907617,1.9997013565060489,8.616039212490762,6.605726369477002,0.41991577654205176,-0.6939810871391074,-0.1947074554001016,0.010342930228067013,-0.7018570681217005,1.9996713565060489,8.7018570681217,6.6918400418833235,-0.1939117186773776,174.5855808510181,145.2597675152412,0.01029743514758123,-0.7012424218108964,1.9996713565060489,8.701242421810896,6.691267726167576,0.39282988055431994
C#CC(C)(C)N.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,-250.099329,1.624,605.4829,756.437,-250.23557439,0.137539,-250.106642,-250.136756,0.100111,-250.098385,0.138483,0.0,0.5544,0.10227499999999999,600.9725,0.148145,-0.25042,0.04587,83.1328,849.062,15.0,0.130226,-0.518503,-0.103673,0.01498,-0.68453,1.99938,7.68453,5.67017,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,7.86475,5.84891,0.44823788546255505,-806.6044391277478,2.558219674314849,6945.896048211411,2168.4411909534365,-806.9172756444673,0.32108670572563275,-806.621374195022,-806.6691300111071,0.2563952036522315,-806.603494296588,0.3220308182910134,0.0,3.1393106722120674,0.13547843311224372,7076.622692755267,0.11028077005042859,-0.2457592031626723,-0.025197663061815128,246.30539999999996,2248.289376748429,36.0,0.30415158893561717,-0.012935271604896674,-0.09971522233145963,0.01888510612798942,-0.3636810463746618,1.9989,6.36368104637466,4.345894151209264,-0.09940422969473114,10.4569085155801,147.75030893443164,0.018875663023787806,-0.36340089566398737,1.9989,6.363400895663987,4.3456303638029325,0.6727986066316285,1.084527672784326,0.19294817716285673,0.05935449467308013,0.872740938151907,1.999297757817766,5.127259061848092,3.0686072123937946,0.19297966627601615,99.32522681239581,24.21516392421486,0.05935860709757662,0.8729321567387217,1.9992983026150157,5.127067843261277,3.0684171858784968,0.5697677826712239,-0.7155786019010361,-0.24269474643183966,0.010575952584922428,-0.6180173001277391,1.9997011320795024,8.61801730012774,6.607741255419964,-0.24307877276535717,539.3517953450126,-53.00836617019581,0.010574248631856574,-0.6184345759281756,1.9997011320795024,8.618434575928175,6.60815874958093,0.4211463844786507,-0.6937811642985211,-0.19437148688132344,0.010280768939113812,-0.701287876041598,1.9996711320795022,8.701287876041597,6.691327091551409,-0.1944309616959409,175.2337832946808,145.28264035752335,0.010280097904187374,-0.7013388346707501,1.9996711320795022,8.701338834670748,6.691385439076603,0.3918624369234996
C#CC(C)(C)N.CC(C)(C(=O)O)c1ccccc1,-250.099329,1.624,605.4829,756.437,-250.23557439,0.137539,-250.106642,-250.136756,0.100111,-250.098385,0.138483,0.0,0.5544,0.10227499999999999,600.9725,0.148145,-0.25042,0.04587,83.1328,849.062,15.0,0.130226,-0.518503,-0.103673,0.01498,-0.68453,1.99938,7.68453,5.67017,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,7.86475,5.84891,0.44823788546255505,-537.7336234378711,1.5231880708861083,2012.840059708587,1600.6382860163108,-537.9423120457915,0.21222331212581969,-537.7447555252194,-537.7820416403196,0.16380468428127948,-537.7326785830028,0.21316745725759362,0.0,1.519183345576275,0.1359010483535714,2064.823307811521,0.12134970683674517,-0.2572507551903166,-0.014551341516826213,164.2036,1489.008327895208,24.0,0.20109079530517682,0.017195040826022454,-0.3932282260982792,0.018459363103294546,-0.18096158374906585,1.9988114513177395,6.180961583749067,4.163699318010292,-0.3967195028725255,17.491505269230707,148.288215177264,0.017623398608160264,-0.17744542342945074,1.9988014513177395,6.17744542342945,4.161022024821291,0.7848326797791941,1.036412551344724,0.21721074616350572,0.06406164714222026,0.8474821164898754,1.9992114513177395,5.152517883510125,3.089239079772666,0.2361684773927099,99.65867056043959,22.192178422872946,0.062491151169538975,0.8787334846317278,1.9992214513177395,5.121266515368273,3.0595524615632543,0.616091973232808,-0.702464241764502,-0.23077204014842506,0.010680636896705453,-0.6073936002454824,1.9997000000000003,8.607393600245484,6.597012963348778,-0.23319682357111013,538.6733712165719,-58.96335589458025,0.01042192899026857,-0.6152141777436464,1.9997000000000003,8.615214177743646,6.605092248753378,0.43221486281007226,-0.6776590930174778,-0.19153679484419184,0.01041952232747091,-0.7042446022164666,1.9996714513177396,8.704244602216466,6.694157923293757,-0.19090208703566586,164.61137152239797,148.72243241793342,0.010322424962949873,-0.7044098479537649,1.9996714513177396,8.704409847953766,6.694415971673076,0.439690899105703
C#CC(C)(C)N.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,-250.099329,1.624,605.4829,756.437,-250.23557439,0.137539,-250.106642,-250.136756,0.100111,-250.098385,0.138483,0.0,0.5544,0.10227499999999999,600.9725,0.148145,-0.25042,0.04587,83.1328,849.062,15.0,0.130226,-0.518503,-0.103673,0.01498,-0.68453,1.99938,7.68453,5.67017,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,7.86475,5.84891,0.44823788546255505,-822.8426192249283,2.9749292595495653,4298.115446578949,2020.0779807532228,-823.1543230030043,0.3238629783929086,-822.859933013926,-822.9053457558623,0.26113644745900877,-822.8416752249283,0.3248073155066229,0.0,2.325288260366358,0.12088071412854078,4583.154018371767,0.12810361853715632,-0.24898433266569708,0.00722290440861555,241.28640000000001,2008.3970510898998,36.0,0.3065495265088752,0.23339316558019313,0.04441896093333852,0.02876120160587206,-0.11178001508873309,1.9990237225022047,6.111780015088733,4.083997054197715,0.0572455001807553,32.694395038535134,134.3007824158304,0.025247450198095593,-0.12948078989269773,1.9989837225022047,6.129480789892698,4.105248209273166,0.7007921834537859,1.0100700400651594,0.0220178930248765,0.05591775340148267,0.5104823083681089,1.9993194447030276,5.4895176916318915,3.4342828081086463,0.20072818522712235,100.21982813969666,23.971593579757922,0.06006333152539023,0.8578834280559368,1.999303722500497,5.142116571944063,3.0827472033377648,0.6182450580308217,-0.6933043359037429,-0.24767310863377212,0.013796546195595977,-0.5634853843206833,1.9997314079200854,8.563485384320684,6.5499525606272915,-0.2354258011010259,544.10227119616,-53.835489373297705,0.01079470605568323,-0.6119014403960578,1.9997014079200854,8.611901440396057,6.601407199116865,0.45432075907742964,-0.6689755932858613,-0.2357067329411294,0.010945021906935326,-0.7283001824263249,1.999696628862857,8.728300182426326,6.7176551605193895,-0.19520926886980172,169.43907512764002,150.30263173708477,0.010466082697424306,-0.7061363451407082,1.9996766288620031,8.706136345140708,6.6959965399410795,0.4505560701067382
C#CC(C)(C)N.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,-250.099329,1.624,605.4829,756.437,-250.23557439,0.137539,-250.106642,-250.136756,0.100111,-250.098385,0.138483,0.0,0.5544,0.10227499999999999,600.9725,0.148145,-0.25042,0.04587,83.1328,849.062,15.0,0.130226,-0.518503,-0.103673,0.01498,-0.68453,1.99938,7.68453,5.67017,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,7.86475,5.84891,0.44823788546255505,-733.8683658273847,4.413076387412239,4844.141263189682,2341.3315007738215,-734.2250397730716,0.35937060229694234,-733.886480934805,-733.9318359610413,0.29590046864032815,-733.8674218273846,0.36031460229694234,0.0,2.3266300529578423,0.15103399336450066,4917.810189876348,0.10470486263002926,-0.25573885599452995,-0.04632913073447141,234.3376,2201.346347342385,39.0,0.3412548765903122,-0.2074563087863588,-0.08912268942735438,0.022561291520437607,-0.18008374733633883,1.9988399999999997,6.180083747336338,4.158688638678147,-0.09806904421563686,152.3885344337497,66.1256595661443,0.0189056457602188,-0.16794613781654244,1.9987738171377534,6.167946137816543,4.1502566749185705,0.6397993354345312,1.3157058118808225,0.17574302152777904,0.054338011484711866,0.7483084540296143,1.9992661828622464,5.251691545970385,3.19808971734792,0.23536918410003205,80.67324990364651,31.940976590312175,0.0530085485867396,0.8504944116633405,1.9992299999999998,5.149505588336659,3.09726703974992,0.5129612513806397,-0.7990833569580648,-0.28441535557949627,0.0107685485867396,-0.6670084584953314,1.99973,8.667008458495332,6.656503727046344,-0.24058855962487974,527.1942924684312,-39.05566319649416,0.010136182862246533,-0.6173749938110723,1.99973,8.617374993811072,6.607512628086578,0.37856279756545624,-0.7440466566964294,-0.22419439612062997,0.009802365724493067,-0.7328868922349523,1.9996999999999998,8.732886892234951,6.723384526510459,-0.19911961378165424,165.59459447073695,158.23496633319286,0.009566182862246534,-0.7083934973521078,1.9996899999999997,8.708393497352109,6.699133497352108,0.3876567479227858
C#CC(C)(C)N.CC(C)Cc1ccc(C(C)C(=O)O)cc1,-250.099329,1.624,605.4829,756.437,-250.23557439,0.137539,-250.106642,-250.136756,0.100111,-250.098385,0.138483,0.0,0.5544,0.10227499999999999,600.9725,0.148145,-0.25042,0.04587,83.1328,849.062,15.0,0.130226,-0.518503,-0.103673,0.01498,-0.68453,1.99938,7.68453,5.67017,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,7.86475,5.84891,0.44823788546255505,-655.4142686345389,1.8461053130569103,4655.116654826086,1979.0354604152017,-655.7109277798711,0.3016284123073585,-655.4297824898135,-655.4741703441495,0.24172650681547717,-655.4133241766443,0.3025724123073585,0.0,1.413220133673788,0.13128692402968622,4842.341767535341,0.11669840641435988,-0.2479853304440461,-0.014588517615326322,206.284,1765.6117742775407,33.0,0.28611386652110493,-0.011335381241509113,-0.09696145147338905,0.019867869405896493,-0.36904770505830475,1.99891,6.369047705058305,4.350269360900929,-0.09907438597805701,10.121766684287149,147.80534732485162,0.018845737864897197,-0.3633311952316782,1.9989000000000001,6.3633311952316784,4.345582837234879,0.6723311322273011,1.0777940231039915,0.17581886084229398,0.061114550963946156,0.8479110306325746,1.9992900000000002,5.152088969367426,3.0916895827660684,0.1926312989470492,99.56680665234356,24.049872409864708,0.05937473547999875,0.8730707300998026,1.9992900000000002,5.126929269900198,3.06826417485063,0.5694962792486199,-0.7134065482950805,-0.24297698266716014,0.010757818491842503,-0.6158306634621609,1.9997100000000003,8.61583066346216,6.605365911052083,-0.2439226844171837,539.7375007073313,-52.39462867682216,0.010557892164153057,-0.6193221213257087,1.9997008343210483,8.619322121325709,6.609058808106957,0.42326472063208836,-0.6902175444063597,-0.19554899916805407,0.010337803797012733,-0.701513761360254,1.9996708343210483,8.701513761360253,6.69149747821503,-0.1945263818727714,175.97795693205302,145.12508239577,0.010270035557728529,-0.7010468420832714,1.9996708343210483,8.701046842083272,6.691102774443555,0.3900177096635491
C#CC(C)(C)N.CC(NC(=O)OCc1ccccc1)C(=O)O,-250.099329,1.624,605.4829,756.437,-250.23557439,0.137539,-250.106642,-250.136756,0.100111,-250.098385,0.138483,0.0,0.5544,0.10227499999999999,600.9725,0.148145,-0.25042,0.04587,83.1328,849.062,15.0,0.130226,-0.518503,-0.103673,0.01498,-0.68453,1.99938,7.68453,5.67017,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,7.86475,5.84891,0.44823788546255505,-781.2649678347918,2.200590983557649,4958.801870732047,1799.8090527635986,-781.5087349287585,0.24972949106567296,-781.2800285540774,-781.3256655897773,0.18903190990206897,-781.2640233663813,0.25067360508260933,0.0,1.873947112828476,0.1363474554953261,5288.041440135387,0.12315129350103705,-0.25949874899636316,-0.013196161994289047,223.228,1771.6155072945046,29.0,0.23466869807782836,0.2902650580512689,-0.03198762525640393,0.020984329815339615,-0.14523678042245255,1.9990041499805797,6.145236780422453,4.125247930401097,-0.031646530841468505,36.243731713185646,144.78184835076954,0.02098021801469721,-0.14507833396243353,1.9990041499805797,6.1450783339624335,4.125098279847531,0.6470994951563479,1.1086744346817425,0.18815215623390003,0.05638803550192823,0.8620254324901359,1.9993120640790083,5.137974567509864,3.082276340999014,0.18823326690378006,97.89775042905289,24.446591870326426,0.056373989071665485,0.8621530525432392,1.9993108599854603,5.137846947456761,3.0821624686250697,0.5443294392225436,-0.7368875811872246,-0.23954694054201228,0.010768571011984068,-0.6145594451900531,1.9997084256810171,8.614559445190054,6.604083817308068,-0.23967098528469416,548.7233928852544,-52.01607897888945,0.010764958731340618,-0.6146754795308841,1.9997084256810171,8.614675479530884,6.6042022590183205,0.40069912648165973,-0.7192702945307213,-0.19544518019740897,0.010167137389962033,-0.7043653118102002,1.99968,8.7043653118102,6.694518103493113,-0.19542433740729864,165.60978828966796,154.19219675953232,0.010168576310429696,-0.7043443149634888,1.99968,8.704344314963489,6.694501790752211,0.3944254273410637
C#CC(C)(C)N.CC1(C)C(C(=O)O)C1(C)C,-250.099329,1.624,605.4829,756.437,-250.23557439,0.137539,-250.106642,-250.136756,0.100111,-250.098385,0.138483,0.0,0.5544,0.10227499999999999,600.9725,0.148145,-0.25042,0.04587,83.1328,849.062,15.0,0.130226,-0.518503,-0.103673,0.01498,-0.68453,1.99938,7.68453,5.67017,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,7.86475,5.84891,0.44823788546255505,-462.817211,0.512,1498.4251,1353.173,-463.029058587,0.221085,-462.82863,-462.86473,0.173566,-462.816266,0.222029,0.0,1.6947,0.133465,1487.1214,0.143015,-0.27648,0.00955,142.1974,1250.4,24.0,0.209666,-0.378691,-0.039302,0.02694,-0.31403,1.99883,6.31403,4.28826,-0.089287,55.3344,159.3439,0.02396,-0.36678,1.99879,6.36678,4.34404,0.7027218376337319,1.219637,0.09532,0.04925,0.53156,1.99923,5.46844,3.41996,0.234446,99.9793,25.8814,0.05422,0.85894,1.99922,5.14106,3.08762,0.5615953429830082,-0.752569,-0.10363,0.01219,-0.31821,1.99975,8.31821,6.30628,-0.261847,506.291,-38.9283,0.00994,-0.64216,1.99971,8.64216,6.63251,0.4653870358716174,-0.746076,-0.182678,0.00992,-0.65274,1.99972,8.65274,6.64311,-0.19892,200.9927,135.3815,0.00993,-0.70119,1.9997,8.70119,6.69157,0.35564820641913153
C#CC(C)(C)N.CCCCOc1ccc(C(=O)O)cc1,-250.099329,1.624,605.4829,756.437,-250.23557439,0.137539,-250.106642,-250.136756,0.100111,-250.098385,0.138483,0.0,0.5544,0.10227499999999999,600.9725,0.148145,-0.25042,0.04587,83.1328,849.062,15.0,0.130226,-0.518503,-0.103673,0.01498,-0.68453,1.99938,7.68453,5.67017,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,7.86475,5.84891,0.44823788546255505,-652.0585442704008,4.2629594973562845,4846.998034937808,1756.8848027199706,-652.3039157458559,0.24841807649710224,-652.0721487434082,-652.1139302421286,0.19303223135913425,-652.0575999201158,0.24936207649710224,0.0,3.124052369253871,0.1410215113679072,4916.467008811563,0.10162976326477045,-0.24265127463267766,-0.03939174810313674,194.2298,1759.12038716002,28.0,0.23481410725738497,-0.4431062446051311,-0.0849014867827846,0.020224682853086495,-0.13525460556143384,1.99883,6.1352546055614345,4.11620384197702,-0.1288990926653661,148.80425915603615,73.75054902181398,0.017969505177888187,-0.21721458822424344,1.9987800000000002,6.217214588224244,4.200465969293476,0.6365729388215718,1.4278270282108676,0.2139529893139301,0.05331273554745774,0.7969695595661581,1.99924,5.203030440433842,3.1504792784348274,0.2363934697993561,81.8161823570936,33.26130656671836,0.05317392126098126,0.8449309704325793,1.9992225381994402,5.155069029567421,3.102671258123931,0.511098374276716,-0.8386425776606512,-0.25014485882149223,0.01041239803480278,-0.6248578059399011,1.99973,8.624857805939902,6.6147154079050985,-0.24498946091440224,517.490585317247,-34.32975936625959,0.010115160173268037,-0.621640110036155,1.99973,8.621640110036155,6.611799686292516,0.3777699731921893,-0.7718033814587271,-0.20861313174860494,0.009763953579611146,-0.7145018224743689,1.9997,8.714501822474368,6.705041788163431,-0.2040604062415377,165.73583846546055,159.51185466990594,0.009604345004620148,-0.71020422682054,1.9997,8.71020422682054,6.7009049978962505,0.3875525443835421
C#CC(C)(C)N.COc1cc(C(=O)O)cc(OC)c1OC,-250.099329,1.624,605.4829,756.437,-250.23557439,0.137539,-250.106642,-250.136756,0.100111,-250.098385,0.138483,0.0,0.5544,0.10227499999999999,600.9725,0.148145,-0.25042,0.04587,83.1328,849.062,15.0,0.130226,-0.518503,-0.103673,0.01498,-0.68453,1.99938,7.68453,5.67017,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,7.86475,5.84891,0.44823788546255505,-762.9994991826646,5.172452753038145,3517.3976607077625,1427.2320348500884,-763.222087966294,0.2278987622081049,-763.0148915562805,-763.0581925789844,0.1692053658882797,-762.9985551826646,0.22884276220810487,0.0,1.6674489770426568,0.14015021747906808,3503.2043327581873,0.0954896510797448,-0.2356398685588129,-0.044660566399323275,212.20179999999996,1637.2263877976807,26.999999999999996,0.21250638859216298,-0.19360534024330717,-0.10060986831926125,0.021284905600112786,-0.19328258583825458,1.9988586226400027,6.193282585838254,4.1731476802381415,-0.10007885859979557,149.98325536589178,70.09812251224193,0.01776418864007331,-0.17199379351800648,1.99881,6.1719937935180065,4.15542098223793,0.6387910100693368,1.3646224657046233,0.16692131944691638,0.054692754719994366,0.7334375862375073,1.9992613773599972,5.266562413762493,3.212608281682501,0.23720502636808793,82.51593538576083,32.63535124698494,0.05309137735999717,0.8497401696802452,1.999231377359997,5.150259830319754,3.0979284529597573,0.5139214764007397,-0.8111835675127705,-0.29725590790685796,0.01082,-0.6808452059230397,1.99973,8.68084520592304,6.670295205923039,-0.24359898581782408,524.771530496764,-37.69717168980306,0.01012550943998872,-0.6200795084817821,1.99973,8.620079508481782,6.61022537640179,0.3793482907488543,-0.7556893096476001,-0.2258387660320107,0.00987862264000282,-0.7336789245599408,1.9997,8.73367892455994,6.724101679279935,-0.19543681159947834,164.34909051254698,158.05005219453028,0.00961137735999718,-0.7042475663194727,1.99969,8.704247566319472,6.694936188959475,0.38679705412193405
C#CC(C)(C)N.COc1ccc(C(=O)O)cc1,-250.099329,1.624,605.4829,756.437,-250.23557439,0.137539,-250.106642,-250.136756,0.100111,-250.098385,0.138483,0.0,0.5544,0.10227499999999999,600.9725,0.148145,-0.25042,0.04587,83.1328,849.062,15.0,0.130226,-0.518503,-0.103673,0.01498,-0.68453,1.99938,7.68453,5.67017,-0.194103,53.4153,204.0517,0.01638,-0.86475,1.99946,7.86475,5.84891,0.44823788546255505,-534.3795992776554,3.954295972430138,2153.098536560531,1094.6648866060611,-534.5360927056734,0.15863181998427023,-534.3891818451613,-534.4244734126672,0.11375768497247289,-534.3786552776554,0.15957581998427023,0.0,2.9302778057873393,0.1423043745084441,2165.110475325092,0.10191797482303988,-0.24422234933148398,-0.040386399685404216,152.14940000000004,1214.2274229599145,19.0,0.14904925247837156,-0.4233878537348954,-0.08602095192782891,0.020254324941013292,-0.13615424862364345,1.9988300000000003,6.136154248623644,4.11706992368263,-0.12927196341429403,149.31420838713876,73.6039305114041,0.017960000000000004,-0.21652990086513843,1.9987800000000002,6.216529900865139,4.19978990086514,0.6367963338630864,1.3996956691556672,0.21385940125838318,0.05333477498033777,0.7962525019662239,1.9992400000000001,5.203747498033777,3.151167948073101,0.23667690542863679,81.88963898496374,33.25973638084685,0.05317567505898672,0.8450649504325694,1.9992252250196625,5.154935049567431,3.1025293745084443,0.511224431440597,-0.8257986434346725,-0.2501468391024723,0.010424774980337764,-0.6250118764746678,1.9997300000000002,8.62501187647467,6.614857101494331,-0.24456587041590974,518.0002365564777,-34.48179222836836,0.010119549960675527,-0.6212778033032558,1.9997300000000002,8.621277803303258,6.611433028322919,0.3775888917664495,-0.7636925497182209,-0.20867457962341476,0.009765225019662238,-0.714584622345598,1.9997000000000003,8.714584622345598,6.705119397325936,-0.20377094500486218,165.51968560259417,159.42590919010178,0.009605225019662237,-0.7099382226601938,1.9997000000000003,8.709938222660195,6.70063777262087,0.3884589370567098
